qr_content,label
https://aws.amazon.com/students,1
https://aws.amazon.com/careers,1
http://docker.com/jobs,1
http://39.127.181.85/signin,0
https://github.com/apply,1
http://175.107.164.102/payment?utm_source=sms,0
https://ibm.com/internships,1
http://signin-update.info.xyz/account?utm_source=whatsapp,0
http://openai.com/students,1
https://github.com/careers,1
http://ibm.com/students,1
https://secure-auth.biz/payment?ref=1131?utm_source=mail,0
http://login.secure-auth.biz/verify,0
https://stackoverflow.com/jobs,1
https://apple.com/careers,1
https://aws.amazon.com/,1
https://aws.amazon.com/,1
http://internshipfree.info.net/confirm?utm_source=whatsapp,0
https://confirm-payments.net/account?ref=5447,0
https://oracle.com/careers,1
https://ibm.com/jobs,1
http://microsoft.com/jobs,1
http://signin-update.info-1321.com/signin,0
https://netflix.com/apply,1
http://netflix.com/jobs,1
http://48.6.70.144/submit,0
http://191.54.23.84/submit,0
https://microsoft.com/programs,1
https://secure-login.top/account?ref=9396,0
http://secure.secure-login.top/payment,0
http://auth.account-verify.club/update,0
http://verify-now.xyz.net/verify?utm_source=whatsapp,0
https://apple.com/,1
http://aws.amazon.com/students,1
https://oracle.com/programs,1
http://verify.confirm-payments.net/account,0
https://intel.com/apply,1
http://66.161.11.141/update?utm_source=sms,0
http://signin-update.info-8253.com/payment,0
http://aws.amazon.com/students,1
http://confirm-payments.net-8616.com/signin?utm_source=whatsapp,0
http://verify-now.xyz.top/signin?utm_source=mail,0
http://apply.secure-auth.biz/submit,0
https://openai.com/jobs,1
https://secure-auth.biz/payment?ref=4219,0
http://aws.amazon.com/about,1
http://account-verify.club-9370.com/verify,0
http://105.127.119.131/payment,0
https://login-check.gdn/payment?ref=6515?utm_source=sms,0
http://intel.com/careers,1
https://google.com/students,1
https://verify-now.xyz/confirm?ref=3361?utm_source=sms,0
http://ibm.com/apply,1
http://account.confirm-payments.net/payment,0
http://ibm.com/careers,1
http://account-verify.club.gdn/verify,0
https://mozilla.org/about,1
https://openai.com/about,1
http://130.60.240.27/payment,0
https://docker.com/internships,1
https://linkedin.com/apply,1
https://secure-auth.biz/account?ref=1715,0
http://143.228.249.22/submit,0
https://netflix.com/apply,1
http://spotify.com/apply,1
https://netflix.com/students,1
http://signin-update.info.loan/payment,0
http://signin-update.info-2366.com/security?utm_source=sms,0
http://secure.confirm-payments.net/signin,0
https://github.com/about,1
http://12.111.37.23/payment,0
https://linkedin.com/jobs,1
https://stackoverflow.com/about,1
https://stackoverflow.com/careers,1
https://github.com/students,1
https://verifyaccount.co/verify?ref=9445,0
https://verifyaccount.co/confirm?ref=3040,0
https://linkedin.com/programs,1
http://apple.com/apply,1
https://docker.com/jobs,1
http://login.signin-update.info/update,0
http://140.62.240.149/security,0
http://github.com/about,1
https://linkedin.com/careers,1
https://aws.amazon.com/,1
http://verifyaccount.co.gdn/submit,0
http://12.183.56.144/confirm,0
